PSC	0	36O01	2621375	793550	749358	930237	612671	0	9.5	0	0	0	112741
PSC	0	44O02	2564351	792533	801876	961722	632687	0	8.7	0	0	0	118264
PSC	0	13ISO02	2665197	927808	519919	873916	573811	0	7.8	0	0	0	164100
PSC	0	02H01	2683170	830700	593590	861396	562894	0	6.6	0	0	0	169564
PSC	0	10O01	2563102	720084	837975	942373	615686	0	6.8	0	0	0	155863
PSC	0	19L01	2704876	852166	573936	861303	564799	0	7.9	0	0	0	146046
PSC	0	28L02	2681788	847574	575394	859699	563269	0	7.0	0	0	0	172268
PSC	0	36O03	2626720	783729	721085	908686	596128	0	6.9	0	0	0	145490
PSC	0	45H01	2735376	912570	475020	836887	550703	0	8.1	0	0	0	154058
PSC	0	14ISO01	2670714	886538	578529	884542	580525	0	8.5	0	0	0	141243
PSC	0	02H03	2702537	837456	597154	867089	567521	0	7.8	0	0	0	139877
PSC	0	10O03	14489	3337	3896	4424	2809	0	0.0	0	0	0	4255302
PSC	0	19L03	2703404	835922	572645	850965	557602	0	6.9	0	0	0	165053
PSC	0	29H01	2635446	872195	609754	894926	587023	0	7.3	0	0	0	159629
PSC	0	37O02	2518088	739802	882007	979574	642235	0	7.2	0	0	0	137127
PSC	0	45H03	2717721	899113	493255	840179	552189	0	7.6	0	0	0	166935
PSC	0	14ISO03	2676345	876081	571851	874744	573188	0	7.6	0	0	0	152747
PSC	0	03O02	2602571	801079	736103	929232	607950	0	7.4	0	0	0	137271
PSC	0	11H02	99188	20083	25811	27978	17916	0	0.0	0	0	0	4131942
PSC	0	20L02	2642587	880498	605526	896523	589501	0	7.7	0	0	0	148413
PSC	0	29H03	2640108	860515	604370	884897	579988	0	6.7	0	0	0	172031
PSC	0	38L01	2686843	915197	491506	850437	556266	0	7.0	0	0	0	183478
PSC	0	46C02	2625446	861283	617604	893252	585635	0	7.0	0	0	0	172691
PSC	0	15ISO02	2687594	903123	531564	866479	568208	0	7.4	0	0	0	154743
PSC	0	04O01	2574584	779168	785947	945196	619919	0	7.4	0	0	0	137325
PSC	0	12L01	2706669	848380	552231	848037	552574	0	7.2	0	0	0	169744
PSC	0	21H01	2619868	833811	664463	905436	592838	0	6.5	0	0	0	158882
PSC	0	30L02	2656738	897246	554573	876343	575476	0	7.3	0	0	0	168467
PSC	0	38L03	2672754	871174	569061	870964	569271	0	7.5	0	0	0	164035
PSC	0	47O02	2671515	897144	540030	868441	568733	0	7.7	0	0	0	168335
PSC	0	16ISO02	2738753	903763	486291	838172	551882	0	8.2	0	0	0	148217
PSC	0	04O03	2588965	813111	710889	921429	602571	0	7.4	0	0	0	164059
PSC	0	12L03	2701103	842483	537583	835682	544384	0	6.7	0	0	0	195855
PSC	0	21H03	2625606	851176	605347	879791	576732	0	6.5	0	0	0	194895
PSC	0	31H01	2679092	912354	509157	858994	562517	0	7.5	0	0	0	176421
PSC	0	39C02	2677892	861769	561755	859795	563729	0	7.3	0	0	0	175608
PSC	0	48C01	2660620	824241	554787	834841	544187	0	5.0	0	0	0	237376
PSC	0	20ISO02	2622699	850967	602033	877568	575432	0	6.5	0	0	0	201325
PSC	0	05O02	2584048	719047	767038	899544	586541	0	5.9	0	0	0	206891
PSC	0	13O02	2628519	819126	646963	886671	579418	0	7.2	0	0	0	182416
PSC	0	22L02	2678085	938312	445050	836173	547189	0	6.7	0	0	0	215577
PSC	0	31H03	2663521	908018	514944	860066	562896	0	7.3	0	0	0	190541
PSC	0	40L02	2653322	853567	602950	879963	576554	0	7.6	0	0	0	167185
PSC	0	01ISO01	2664994	839218	599405	869685	568938	0	7.7	0	0	0	173407
