ID,Generation,Productivity,Eclosion,Isoline,Treatment,Rescuer,Rescue
25,5,810,20,Iso 12,I,Iso 23,H
26,5,686,20,Iso 16,C,None,C
27,5,669,20,Iso 15,C,None,C
28,5,728,20,Iso 23,I,Iso 20,L
29,5,752,20,Iso 8,I,Iso 12,H
30,5,751,20,Iso 8,I,Iso 13,L
31,5,634,20,Iso 15,I,Iso 14,H
32,5,642,20,Iso 16,O,KSS,O
33,5,759,19,Iso 12,I,Iso 13,L
34,5,721,20,Iso 8,C,None,C
35,5,685,20,Iso 21,I,Iso 12,H
36,5,762,20,Iso 23,O,KSS,O
37,5,651,19,Iso 13,O,KSS,O
38,5,805,20,Iso 5,I,Iso 21,L
39,5,374,20,Iso 23,C,None,C
40,5,668,20,Iso 14,I,Iso 21,L
41,5,856,20,Iso 14,I,Iso 12,H
42,5,627,20,Iso 16,I,Iso 20,L
43,5,807,20,Iso 3,I,Iso 12,H
44,5,654,20,Iso 20,O,KSS,O
45,5,618,20,Iso 16,I,Iso 14,H
46,5,835,20,Iso 12,C,None,C
47,5,881,20,Iso 15,O,KSS,O
48,5,532,20,Iso 14,C,None,C
1,6,440,20,Iso 21,C,None,C
2,6,829,20,Iso 1,I,Iso 23,H
3,6,649,20,Iso 21,O,KSS,O
4,6,603,20,Iso 12,O,KSS,O
5,6,829,20,Iso 1,O,KSS,O
6,6,910,20,Iso 8,O,KSS,O
7,6,748,20,Iso 15,I,Iso 20,L
8,6,700,20,Iso 13,I,Iso 23,H
9,6,805,20,Iso 5,I,Iso 23,H
10,6,780,20,Iso 3,O,KSS,O
11,6,632,20,Iso 23,I,Iso 14,H
12,6,627,19,Iso 1,I,Iso 21,L
13,6,677,20,Iso 5,O,KSS,O
14,6,720,20,Iso 14,O,KSS,O
15,6,490,20,Iso 13,C,None,C
16,6,710,20,Iso 1,C,None,C
17,6,478,20,Iso 21,I,Iso 20,L
18,6,694,20,Iso 3,C,None,C
19,6,603,20,Iso 3,I,Iso 13,L
20,6,547,20,Iso 20,I,Iso 13,L
21,6,697,20,Iso 20,I,Iso 14,H
22,6,500,20,Iso 13,I,Iso 21,L
23,6,538,20,Iso 5,C,None,C
24,6,678,20,Iso 20,C,None,C
25,6,806,19,Iso 12,I,Iso 23,H
26,6,549,20,Iso 16,C,None,C
27,6,740,18,Iso 15,C,None,C
28,6,573,20,Iso 23,I,Iso 20,L
29,6,772,20,Iso 8,I,Iso 12,H
30,6,832,20,Iso 8,I,Iso 13,L
31,6,795,20,Iso 15,I,Iso 14,H
32,6,580,20,Iso 16,O,KSS,O
33,6,830,20,Iso 12,I,Iso 13,L
34,6,753,20,Iso 8,C,None,C
35,6,681,20,Iso 21,I,Iso 12,H
36,6,848,20,Iso 23,O,KSS,O
37,6,787,19,Iso 13,O,KSS,O
38,6,790,20,Iso 5,I,Iso 21,L
39,6,628,19,Iso 23,C,None,C
40,6,614,19,Iso 14,I,Iso 21,L
41,6,706,20,Iso 14,I,Iso 12,H
42,6,730,20,Iso 16,I,Iso 20,L
43,6,770,20,Iso 3,I,Iso 12,H
44,6,629,20,Iso 20,O,KSS,O
45,6,534,19,Iso 16,I,Iso 14,H
46,6,704,20,Iso 12,C,None,C
47,6,948,20,Iso 15,O,KSS,O
48,6,587,20,Iso 14,C,None,C
1,7,388,16,Iso 21,C,None,C
2,7,740,20,Iso 1,I,Iso 23,H
3,7,672,20,Iso 21,O,KSS,O
4,7,1010,20,Iso 12,O,KSS,O
5,7,806,20,Iso 1,O,KSS,O
6,7,828,20,Iso 8,O,KSS,O
7,7,857,20,Iso 15,I,Iso 20,L
8,7,696,20,Iso 13,I,Iso 23,H
9,7,634,20,Iso 5,I,Iso 23,H
10,7,797,20,Iso 3,O,KSS,O
11,7,731,20,Iso 23,I,Iso 14,H
12,7,719,20,Iso 1,I,Iso 21,L
13,7,657,20,Iso 5,O,KSS,O
14,7,814,20,Iso 14,O,KSS,O
15,7,595,20,Iso 13,C,None,C
16,7,665,19,Iso 1,C,None,C
17,7,590,20,Iso 21,I,Iso 20,L
18,7,581,20,Iso 3,C,None,C
19,7,634,20,Iso 3,I,Iso 13,L
20,7,560,20,Iso 20,I,Iso 13,L
21,7,598,20,Iso 20,I,Iso 14,H
22,7,571,20,Iso 13,I,Iso 21,L
23,7,529,20,Iso 5,C,None,C
24,7,496,20,Iso 20,C,None,C
25,7,878,20,Iso 12,I,Iso 23,H
26,7,625,19,Iso 16,C,None,C
